ชื่องาน,กลุ่ม,ประเภท,สถานะ,ผู้รับผิดชอบ,วันที่,บริษัท,หมวด GL,งบ,หมวด GL รอง,งบรอง,ใช้จริง,เวลา,สถานที่,ผู้เข้าร่วม,เตรียมล่วงหน้า(วัน),สิ่งที่ต้องเตรียม,ป้ายกำกับ,สี,ผู้เข้าอบรม,ชั่วโมง,วิทยากร/สถาบัน,กรมพัฒฯ,การเกิดซ้ำ,รายละเอียด
พนักงานรับเอกสาร 50 ทวิ (เงินได้ของปีภาษี 2567),งานประจำเดือน,ค่าตอบแทน,รอดำเนินการ,HRMS,2026-01-21,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 21-24/01/2025)
IRR เช่าสถานที่ ห้อง LeKise Family อบรมการปฏิบัติงานบนที่สูง,อบรมภายใน,อบรม,รอดำเนินการ,HROD - HRBP,2026-02-19,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 19/02/2025)
กท.25 ค (ชำระเงินกองทุนทดแทนเพิ่มเติม),งานประจำเดือน,ค่าตอบแทน,รอดำเนินการ,HRMS,2026-03-31,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 31/03/2025)
นำส่ง กท.26 ก.,งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRMS,2026-01-31,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 31/01/2025)
Meeting HR SBP & LSC,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-02-20,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 20/02/2025)
ยื่น ภ.ง.ด.90 ผู้บริหาร (เงินได้ปี 2567),งานประจำเดือน,เอกสารราชการ,รอดำเนินการ,HRMS,2026-03-31,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 31/03/2025)
นำส่งข้อมูล คร.11,งานประจำเดือน,อื่นๆ,รอดำเนินการ,HRMS,2026-01-31,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 31/01/2025)
Meeting HR & บริหารโรงงานการผลิต,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-02-20,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 20/02/2025)
ยื่น ภ.ง.ด.90 นายจ้างยื่นแทนลูกจ้าง (เงินได้ปี 2567),งานประจำเดือน,เอกสารราชการ,รอดำเนินการ,HRMS,2026-03-31,,,,,,,,,,,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 31/03/2025)
Meeting HR SBP & LSC,งานประจำเดือน,ประชุม,รอดำเนินการ,HR Team,2026-01-23,,,,,,,,,,3,,Plan Monthly HR,,,,,,,จากแผน Plan Monthly HR 2025 (เดิม 23/01/2025)
